EST_STORECAP_MIN,EST_STORECAP_MEAN,EST_STORECAP_MAX,CAP_EST_METHOD,STORE_CAP_MIN,STORE_CAP_MEAN,STORE_CAP_MAX,CAP_CAL_METHOD,TOTAL_STORE_CAP,STORE_CAP_HCDAUGHTER,EST_CAP_ENT_PRESS,OBJECTID,FORMATION_ID,STORAGE_UNIT_ID,STORAGE_UNIT_NAME,ASSESS_UNIT_TYPE,PERIOD_MIN,COUNTRY
0.0,6100.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,20,AT_F_20120925143950381,AT_S_20120925144318678,Voitsdorf,Saline Aquifer with hydrocarbon fields,Paleogene,Austria
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,21,AT_F_20120925152752701,AT_S_20120925153056906,Hoeflein,Saline Aquifer with hydrocarbon fields,Jurassic,Austria
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,22,AT_F_20120924170441760,AT_S_20121003123956917,Schoenkirchen SU,Saline Aquifer with hydrocarbon fields,,Austria
0.0,34.188,0.0,From detailed site characterisation study,0.0,0.0,0.0,,0.0,0.0,0.0,23,AT_F_20121102160144734,AT_S_20121102161007912,Aderklaa,Saline Aquifer with hydrocarbon fields,Triassic,Austria
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,24,AT_F_20121102160144734,AT_S_20121102161339355,Reyersdorf Dolomit,Saline Aquifer with hydrocarbon fields,Triassic,Austria
18.0,33.0,170.0,"Geo-techno-economic simulation (Welkenhuysen et al., submitted)",0.0,34.490624999999994,0.0,Method 2,34.490624999999994,0.0,0.0,25,BE_F_20120921102921359,BE_S_20120924115330515,Neeroeteren SU,Saline Aquifer without hydrocarbon fields,Carboniferous,Belgium
3.0,8.0,71.0,"Geo-techno-economic simulation (Welkenhuysen et al., submitted)",0.0,8.983203125000003,0.0,Method 1,8.983203125000003,0.0,0.0,26,BE_F_20120924133657250,BE_S_20120924135322812,Houtem and Maastricht SU,Saline Aquifer without hydrocarbon fields,Paleogene,Belgium
12.0,31.0,189.0,"Geo-techno-economic simulation (Welkenhuysen et al., submitted)",0.0,18.693,0.0,Method 2,18.693,0.0,0.0,27,BE_F_20120921102046500,BE_S_20120926110441359,Buntsandstein SU,Saline Aquifer without hydrocarbon fields,Permian,Belgium
15.0,54.0,489.0,"Geo-techno-economic simulation (Welkenhuysen et al., submitted)",0.0,43.42634999999999,0.0,Method 1,43.42634999999999,0.0,0.0,28,BE_F_20120924135156406,BE_S_20121001133442968,Dinantian North SU,Saline Aquifer without hydrocarbon fields,Carboniferous,Belgium
7.0,17.0,413.0,"Geo-techno-economic simulation (Welkenhuysen et al., submitted",0.0,0.0,0.0,,0.0,0.0,0.0,29,BE_F_20121002151947640,BE_S_20121002153049984,Devonian North SU,Saline Aquifer without hydrocarbon fields,Devonian,Belgium
6.0,11.0,342.0,"Geo-techno-economic simulation (Welkenhuysen et al., submitted",0.0,0.0,0.0,,0.0,0.0,0.0,30,BE_F_20121002154410859,BE_S_20121002154822000,Devonina South SU,Saline Aquifer without hydrocarbon fields,Devonian,Belgium
25.0,88.0,740.0,"Geo-techno-economic simulation (Welkenhuysen et al., submitted)",0.0,121.5,0.0,Method 1,121.5,0.0,0.0,31,BE_F_20121002154511843,BE_S_20121002155754500,Hainaut Geothermal aquifer SU,Saline Aquifer without hydrocarbon fields,Carboniferous,Belgium
400.0,460.0,550.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,,0.0,0.0,0.0,32,BG_F_20121113111934576,BG_S_20121113112210498,Pavlikeni zone,Saline Aquifer without hydrocarbon fields,Cretaceous,Bulgaria
1600.0,1800.0,2000.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,,0.0,0.0,0.0,33,BG_F_20121113111934576,BG_S_20121113112241932,Pleven zone,Saline Aquifer with hydrocarbon fields,Cretaceous,Bulgaria
15.0,17.5,25.0,Pore vol and storage eff coefficient limited by trap vol,0.0,0.0,0.0,,0.0,0.0,0.0,34,BG_F_20121113110644440,BG_S_20121113123338718,Marash,Saline Aquifer without hydrocarbon fields,Devonian,Bulgaria
4.0,5.3,8.0,Pore vol and storage eff coefficient limited by trap vol,0.0,0.0,0.0,,0.0,0.0,0.0,35,BG_F_20121113111630527,BG_S_20121113131206356,Totleben,Saline Aquifer without hydrocarbon fields,Triassic,Bulgaria
18.0,21.6,25.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,,0.0,0.0,0.0,36,BG_F_20121113111847261,BG_S_20121114112537077,Popovo zone,Saline Aquifer without hydrocarbon fields,Jurassic,Bulgaria
22.0,27.0,65.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,,0.0,0.0,0.0,37,BG_F_20121113112917939,BG_S_20121114165046698,Yambol-south,Saline Aquifer without hydrocarbon fields,Cretaceous,Bulgaria
19.0,24.0,86.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,,0.0,0.0,0.0,38,BG_F_20121113112917939,BG_S_20121114165153694,Cherkovo,Saline Aquifer without hydrocarbon fields,Cretaceous,Bulgaria
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,39,BG_F_20121113113802459,BG_S_20121115085722334,Galata,Saline Aquifer with hydrocarbon fields,,Bulgaria
45.0,56.16,65.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,,0.0,0.0,0.0,40,BG_F_20121113113042054,BG_S_20121115094010677,Dolna Kamchia,Saline Aquifer with hydrocarbon fields,Paleogene,Bulgaria
