EST_STORECAP_MIN,EST_STORECAP_MEAN,EST_STORECAP_MAX,CAP_EST_METHOD,MIN_EST_STORE_CAP_GAS,MEAN_EST_STORE_CAP_GAS,MAX_EST_STORE_CAP_GAS,MIN_EST_STORE_CAP_OIL,MEAN_EST_STORE_CAP_OIL,MAX_EST_STORE_CAP_OIL,MIN_CALC_STORE_CAP_GAS,MEAN_CALC_STORE_CAP_GAS,MAX_CALC_STORE_CAP_GAS,MIN_CALC_STORE_CAP_OIL,MEAN_CALC_STORE_CAP_OIL,MAX_CALC_STORE_CAP_OIL,STORE_CAP_MIN,STORE_CAP_MEAN,STORE_CAP_MAX,CAP_CAL_METHOD,EST_CAP_ENT_PRESS,OBJECTID,STORAGE_UNIT_ID,TRAP_ID,TRAP_NAME,ASSESS_UNIT_TYPE,PERIOD_MIN,COUNTRY
22.0,0.0,59.0,Pore vol and storage eff coefficient limited by trap vol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,112,DE_S_20120926144228241,DE_T_20120926155345604,Middle Buntsandstein Daughter Unit 10,Aquifer Daughter Unit,,Germany
33.0,0.0,88.0,Pore vol and storage eff coefficient limited by trap vol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,113,DE_S_20120926144228241,DE_T_20120926160449259,Middle Buntsandstein Daughter Unit 11,Aquifer Daughter Unit,,Germany
196.0,0.0,517.0,Pore vol and storage eff coefficient limited by trap vol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,114,DE_S_20120926144228241,DE_T_20120926160634309,Middle Buntsandstein Daughter Unit 12,Aquifer Daughter Unit,,Germany
39.0,0.0,103.0,Pore vol and storage eff coefficient limited by trap vol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,115,DE_S_20120926144228241,DE_T_20120926160908219,Middle Buntsandstein Daughter Unit 13,Aquifer Daughter Unit,,Germany
18.0,0.0,47.0,Pore vol and storage eff coefficient limited by trap vol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,116,DE_S_20120926144228241,DE_T_20120926161039120,Middle Buntsandstein Daughter Unit 14,Aquifer Daughter Unit,,Germany
51.0,0.0,135.0,Pore vol and storage eff coefficient limited by trap vol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,117,DE_S_20120926144228241,DE_T_20120926161907953,Middle Buntsandstein Daughter Unit 15,Aquifer Daughter Unit,,Germany
28.0,0.0,75.0,Pore vol and storage eff coefficient limited by trap vol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,118,DE_S_20120926144228241,DE_T_20120926162141938,Middle Buntsandstein Daughter Unit 16,Aquifer Daughter Unit,,Germany
54.0,0.0,140.0,Pore vol and storage eff coefficient limited by trap vol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,119,DE_S_20120926144228241,DE_T_20120926162329514,Middle Buntsandstein Daughter Unit 17,Aquifer Daughter Unit,,Germany
22.0,0.0,58.0,Pore vol and storage eff coefficient limited by trap vol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,120,DE_S_20120926144228241,DE_T_20120926162624125,Middle Buntsandstein Daughter Unit 18,Aquifer Daughter Unit,,Germany
23.0,0.0,59.0,Pore vol and storage eff coefficient limited by trap vol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,121,DE_S_20120926144228241,DE_T_20120926162956925,Middle Buntsandstein Daughter Unit 19,Aquifer Daughter Unit,,Germany
39.0,0.0,101.0,Pore vol and storage eff coefficient limited by trap vol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,122,DE_S_20120926163651464,DE_T_20120926164007868,Keuper Daughter Unit 1,Aquifer Daughter Unit,,Germany
16.0,0.0,42.0,Pore vol and storage eff coefficient limited by trap vol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,123,DE_S_20120926163651464,DE_T_20120926164339357,Keuper Daughter Unit 2,Aquifer Daughter Unit,,Germany
25.0,0.0,65.0,Pore vol and storage eff coefficient limited by trap vol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,124,DE_S_20120926163651464,DE_T_20120926164540569,Keuper Daughter Unit 3,Aquifer Daughter Unit,,Germany
18.0,0.0,47.0,Pore vol and storage eff coefficient limited by trap vol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,125,DE_S_20120926165034644,DE_T_20120926165126109,Middle Jurassic Daughter Unit 1,Aquifer Daughter Unit,,Germany
20.0,0.0,52.0,Pore vol and storage eff coefficient limited by trap vol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,126,DE_S_20120926165034644,DE_T_20120926165330939,Middle Jurassic Daughter Unit 2,Aquifer Daughter Unit,,Germany
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,127,DE_S_20120926165034644,DE_T_20120926170030633,Middle Jurassic Daughter Unit 3,Hydrocarbon Daughter Unit,,Germany
0.0,0.0,0.0,,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,128,DE_S_20120927082142391,DE_T_20120927082910801,Upper Rotliegend Daughter Unit 1,Hydrocarbon Daughter Unit,,Germany
0.0,0.0,0.0,,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,129,DE_S_20120927082142391,DE_T_20120927083918962,Upper Rotliegend Daughter Unit 2,Hydrocarbon Daughter Unit,,Germany
0.0,0.0,0.0,,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,130,DE_S_20120927082142391,DE_T_20120927084925833,Upper Rotliegend Daughter Unit 3,Hydrocarbon Daughter Unit,,Germany
0.0,0.0,0.0,,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,131,DE_S_20120927082142391,DE_T_20120927085438160,Upper Rotliegend Daughter Unit 4,Hydrocarbon Daughter Unit,,Germany
0.0,0.0,0.0,,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,132,DE_S_20120927082142391,DE_T_20120927085624989,Upper Rotliegend Daughter Unit 5,Hydrocarbon Daughter Unit,,Germany
0.0,0.0,0.0,,0.0,610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,133,DE_S_20120927082142391,DE_T_20120927085944716,Upper Rotliegend Daughter Unit 6,Hydrocarbon Daughter Unit,,Germany
0.0,0.0,0.0,,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,134,DE_S_20120927082142391,DE_T_20120927090349215,Upper Rotliegend Daughter Unit 7,Hydrocarbon Daughter Unit,,Germany
0.0,0.0,0.0,,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,135,DE_S_20120927082142391,DE_T_20120927090641267,Upper Rotliegend Daughter Unit 8,Hydrocarbon Daughter Unit,,Germany
0.0,0.0,0.0,,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,136,DE_S_20120927082142391,DE_T_20120927091010057,Upper Rotliegend Daughter Unit 9,Hydrocarbon Daughter Unit,,Germany
0.0,0.0,0.0,,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,137,DE_S_20120927082142391,DE_T_20120927100949297,Upper Rotliegend Daughter Unit 10,Hydrocarbon Daughter Unit,,Germany
